adjective, child prenominal count, child postnominal count, adult prenominal count, adult postnominal count
absent,1,0,0,2
violet,1,1,0,2
creux,0,1,0,0
jaune,1,13,6,32
bleu,7,24,2,47
tapé,1,0,0,0
super,1,0,147,68
orange,0,2,0,7
reposé,0,2,0,0
premier,4,2,791,38
doux,0,26,3,13
mettre,4,5,0,0
haut,0,1,42,14
torse,1,0,0,0
seul,4,8,188,32
fou,1,0,2,23
nu,2,4,5,16
riquiqui,0,2,0,1
vert,4,37,6,78
mal,3,3,0,0
triste,0,2,2,4
enlevé,5,5,0,0
marron,0,3,0,4
méchant,23,1,2,2
dur,6,0,4,35
moyen,1,0,7,40
tien,3,3,0,0
floral,0,1,0,3
balancé,0,1,0,0
coquin,0,1,0,2
nul,3,0,2,3
gardé,1,0,0,2
écrit,1,0,4,18
bien,5,1,2,0
rose,1,15,1,12
froid,1,2,3,20
magique,0,1,0,14
immense,1,0,13,12
sale,3,9,18,6
long,1,5,81,49
réussi,0,1,0,0
vrai,1,0,197,7
minuscule,0,2,1,1
propre,0,1,69,41
noir,2,4,11,90
grand,203,6,988,72
fermé,4,10,0,14
fâché,1,0,0,0
châtain,0,1,0,0
dernier,4,0,337,238
joli,9,1,41,10
fort,5,9,30,45
pointu,0,1,0,2
plat,0,1,1,12
râpé,0,1,0,0
carré,0,1,0,33
tranquille,0,1,5,21
plein,1,0,111,50
partis,1,0,2,4
sec,1,0,1,12
animé,0,9,1,5
pénible,1,0,1,5
deuxième,1,1,237,9
chaud,1,4,3,27
neuf,10,18,2,11
écrasé,0,1,0,0
parti,20,5,0,0
blanc,0,8,9,141
difficile,1,0,0,46
vilain,4,0,4,1
donné,2,1,0,0
petit,1054,90,2484,90
dodu,0,4,0,0
meilleur,1,0,61,7
rouge,7,50,8,86
brun,0,2,1,5
arrière,0,1,2,12
désolé,1,0,0,5
gros,39,3,396,31
paire,1,0,0,0
droit,1,1,20,85
gentil,6,3,6,10
entier,0,1,0,63
rangé,1,10,0,0
beau,71,2,331,55
habillé,2,1,0,0
pauvre,1,0,19,14
même,13,0,1035,13
perdu,2,1,2,5
bon,26,1,941,20
patibulaire,1,4,0,0
partie,1,0,0,0
défait,0,2,0,0
gluant,0,1,0,3
fini,19,1,2,7
gris,0,3,4,15
pompier,2,9,1,1
