adjective, prenominal count, postnominal count
petit,2341,84
grand,954,63
autre,1550,15
gros,387,29
beau,321,52
gentil,6,10
même,1027,13
cassé,0,0
bon,920,17
vrai,195,7
méchant,2,2
haut,39,13
dur,4,33
bas,3,5
vilain,3,1
dernier,327,227
rouge,5,76
jaune,6,26
pareil,14,61
chaud,3,26
caché,0,0
coquin,0,1
ferme,0,5
premier,754,36
froid,3,20
vert,6,74
seul,185,30
nul,2,3
ouvert,0,23
deuxième,230,7
joli,38,9
mauvais,112,3
préféré,1,2
lourd,1,6
court,1,30
sûr,14,13
double,23,8
prochain,54,149
nouveau,239,31
énorme,35,36
long,72,47
prêt,1,9
vieux,164,8
deux,0,0
las,0,1
minuscule,1,1
mécanique,0,9
malheureux,2,3
pompier,1,1
doux,2,11
para,0,0
animé,1,5
en_bas,0,0
bleu,2,43
noir,7,70
rose,1,11
sale,18,4
magique,0,14
blanc,9,129
orange,0,5
châtain,0,0
râpé,0,0
violet,0,2
carré,0,31
gris,3,12
clair,5,14
foncé,0,1
collant,0,0
roux,0,7
clefs,0,0
rond,3,12
sombre,0,3
gauche,14,52
brun,1,5
propre,67,40
fermé,0,14
gras,3,28
sage,0,6
mouillé,0,1
triste,1,4
rigolo,0,2
entier,0,61
adulte,5,9
bête,0,6
malade,2,13
collé,0,0
arrière,2,12
chéri,0,0
fort,29,41
plouf,0,0
transporteurs,0,0
dodu,0,0
pointu,0,2
couteau,0,0
brillant,4,4
